name,address,lng,lat
高雄醫學大學,[807]高雄市三民區十全一路100號,120.3102147,22.6453863
南華大學,[622]嘉義縣大林鎮南華路一段55號,120.4943064,23.5693126
真理大學,[251]新北市淡水區真理街32號,121.4346021,25.1755872
大同大學,[104]臺北市中山區中山北路三段40號,121.521804,25.0671544
南臺科技大學,[710]臺南市永康區尚頂里南臺街1號,120.2252883,23.0225666
崑山科技大學,[710]臺南市永康區崑大路195號,120.254558,22.9984109
嘉南藥理大學,[717]臺南市仁德區二仁路一段60號,120.2226712,22.9250213
樹德科技大學,[824]高雄市燕巢區橫山路59號,120.3764731,22.7640607
慈濟大學,[970]花蓮縣花蓮市中央路三段701號,121.5912413,23.9928935
臺北醫學大學,[110]臺北市信義區吳興街250號,121.5612122,25.0258406
中山醫學大學,[402]臺中市南區建國北路一段110號,120.6517604,24.1217915
龍華科技大學,[333]桃園市龜山區萬壽路一段300號,121.4028529,25.0175193
輔英科技大學,[831]高雄市大寮區進學路151號,120.3896885,22.6026893
明新科技大學,[304]新竹縣新豐鄉新興路1號,120.9912167,24.8638512
長榮大學,[711]臺南市歸仁區長大路1號,120.2733366,22.907836
弘光科技大學,[433]臺中市沙鹿區臺灣大道六段1018號,120.5808091,24.2173159
中國醫藥大學,[404]臺中市北區學士路91號,120.681125,24.155899
健行科技大學,[320]桃園市中壢區健行路229號,121.228276,24.9478097
正修科技大學,[833]高雄市鳥松區澄清路840號,120.3485347,22.6504546
萬能科技大學,[320]桃園市中壢區萬能路1號,121.2323797,24.9906068
玄奘大學,[300]新竹市香山區東香里玄奘路48號,120.943289,24.7743486
建國科技大學,[500]彰化縣彰化市介壽北路1號,120.5500577,24.0662461
明志科技大學,[243]新北市泰山區貴子里工專路84號 ,121.4222651,25.0410187
高苑科技大學,[821]高雄市路竹區中山路1821號,120.2646319,22.8409222
大仁科技大學,[907]屏東縣鹽埔鄉新二村維新路20號,120.5421113,22.7266921
聖約翰科技大學,[251]新北市淡水區淡金路四段499號,121.4516535,25.2269693
嶺東科技大學,[408]臺中市南屯區嶺東路1號,120.6096728,24.1378074
中國科技大學,[116]臺北市文山區興隆路三段56號,121.5553747,24.9991431
中臺科技大學,[406]臺中市北屯區?子路666號,120.736065,24.1725268
亞洲大學,[413]臺中市霧峰區柳豐路500號,120.6885757,24.043676
