popup,lat,lng
臺北市大安區和平東路3段208號,25.0228652,121.553841
臺北市中正區廣州街15號,25.0359087,121.5081728
臺北市士林區至善路2段221號(故宮博物院內),25.1023554,121.5484925
臺北市大同區重慶北路2段183號,25.0599141,121.5137663
臺北市中正區南海路49號(歷史博物館),25.031454,121.511227
臺北市中正區北平西路3號(台北火車站內),25.0471482,121.5175462
臺北市中山區林森北路573號,25.0649927,121.5258114
臺北市中山區長春路129號之2,25.0549646,121.5305561
臺北市中山區民權西路22號,25.0626417,121.5218074
臺北市萬華區桂林路51號,25.0380929,121.5041441
臺北市中正區汀州路3段301號,25.011816,121.5358871
臺北市中正區和平西路2段68號,25.0291916,121.5115604
臺北市士林區中正路420號,25.0935053,121.5195942
臺北市萬華區萬大路524號,25.01887,121.496784
臺北市文山區興隆路2段171號,25.0006045,121.5489904
臺北市士林區福港街149巷2號,25.0874552,121.5181781
臺北市信義區永吉路168號1樓,25.0455053,121.5710135
臺北市萬華區和平西路3段310號,25.0352842,121.4930323
臺北市信義區逸仙路46號,25.040346,121.561762
臺北市松山區儲匯：南京東路3段346號  郵務：南京東路3段346號後棟,25.0515509,121.5480709
臺北市大安區忠孝東路3段150、152、154號,25.0415227,121.5380818
臺北市士林區忠誠路1段52號,25.1046156,121.5268735
臺北市中正區杭州南路1段23號之3,25.0424074,121.5265416
臺北市士林區臨溪路70號(東吳大學內),25.0952273,121.5457421
臺北市松山區民生東路5段191號,25.0592051,121.5657055
臺北市大安區基隆路4段43號(台灣科技大學內),25.0136906,121.5406792
臺北市大安區愛國東路216號,25.0318173,121.5245671
臺北市中正區中山南路21號(中正紀念堂內),25.035008,121.5210501
臺北市文山區羅斯福路5段147號,25.004192,121.539013
臺北市萬華區國興路34、36、38號,25.0249068,121.5081939
臺北市大安區安和路2段61、63號,25.0307687,121.5525742
臺北市文山區汀州路4段88號(師大分部內),25.0081215,121.5359759
臺北市信義區忠孝東路5段464、466號,25.040661,121.576702
臺北市中正區忠孝東路1段2號(監察院東側，面向鎮江街),25.0448038,121.5213616
臺北市松山區民權東路3段124之1、2號,25.0619081,121.5457453
臺北市中山區北安路630巷10號,25.0826554,121.5498429
臺北市士林區士東路286巷36號,25.1114041,121.5373205
臺北市士林區士東路190號,25.1125099,121.5330572
臺北市中正區中華路1段53號,25.0433213,121.5089941
臺北市大安區忠孝東路4段170巷9號,25.040612,121.5508815
臺北市信義區信義路5段5號(世貿中心內),25.033155,121.562347
臺北市中正區廣州街2號,25.0349956,121.5100869
臺北市文山區興隆路3段178、180號,24.9981144,121.5586625
臺北市中山區復興北路210、212號,25.0563272,121.5439148
臺北市中正區中山南路7號(台大醫院內),25.0406784,121.518969
臺北市士林區明溪街15號,25.107,121.565204
臺北市大安區信義路3段89號,25.0337246,121.5383024
臺北市松山區民生東路4段54之2號,25.0577378,121.5511622
臺北市中正區徐州路5號地下一樓(中央聯合辦公大樓內),25.0422099,121.51947
臺北市中山區龍江路335號,25.0630229,121.5410744
臺北市中山區北安路409號,25.079796,121.5432099
臺北市士林區基河路14號,25.0817353,121.5239063
臺北市北投區紗帽路139之1號,25.1513391,121.5459902
臺北市士林區華岡路55號,25.1377176,121.5410056
臺北市士林區延平北路6段197號,25.089378,121.505847
