縣市,鄉鎮,lat,lng
桃園縣,大園鄉,25.058472,121.2146
桃園縣,觀音鄉,25.030273,121.101501
桃園縣,龜山鄉,25.023499,121.354309
桃園縣,桃園市,25.001526,121.297119
桃園縣,中壢市,24.984314,121.209412
桃園縣,新屋鄉,24.977722,121.07843
桃園縣,八德鄉,24.942688,121.292786
桃園縣,平鎮鄉,24.923279,121.218506
桃園縣,揚梅鎮,24.914307,121.124573
桃園縣,大溪鎮,24.868713,121.300476
桃園縣,龍潭鄉,24.850281,121.211731
桃園縣,復興鄉,24.614929,121.361511
高雄市,楠梓區,22.71991,120.299805
高雄市,左營區,22.682922,120.291504
高雄市,三民區,22.651489,120.316895
高雄市,鼓山區,22.615723,120.279297
高雄市,苓雅區,22.624329,120.317078
高雄市,新興區,22.629272,120.30542
高雄市,前金區,22.627502,120.294006
高雄市,鹽埕區,22.626099,120.283691
高雄市,旗津區,22.587097,120.289978
高雄市,前鎮區,22.590515,120.309875
高雄市,小港區,22.548889,120.356689
高雄縣,桃源鄉,23.214111,120.859619
高雄縣,三民鄉,23.250122,120.733093
高雄縣,甲仙鄉,23.099121,120.616211
高雄縣,六龜鄉,22.934692,120.670105
高雄縣,杉林鄉,22.990479,120.563293
高雄縣,內門鄉,22.952271,120.473389
高雄縣,茂林鄉,22.922729,120.760376
高雄縣,美濃鎮,22.887085,120.562012
高雄縣,旗山鎮,22.86792,120.473389
高雄縣,田寮鄉,22.86792,120.396301
高雄縣,茄萣鄉,22.878723,120.197998
高雄縣,湖內鄉,22.893494,120.22699
高雄縣,阿蓮鄉,22.867676,120.319214
高雄縣,路竹鄉,22.85553,120.26178
高雄縣,永安鄉,22.822083,120.23053
高雄縣,岡山鎮,22.808472,120.301086
高雄縣,燕巢鄉,22.787476,120.373413
高雄縣,彌陀鄉,22.774902,120.23999
高雄縣,橋頭鄉,22.753906,120.301025
高雄縣,大樹鄉,22.710876,120.424683
高雄縣,梓官鄉,22.746277,120.261414
高雄縣,大社鄉,22.732117,120.374023
高雄縣,仁武鄉,22.692322,120.360291
高雄縣,鳥松鄉,22.660278,120.367493
高雄縣,大寮鄉,22.587097,120.408386
高雄縣,鳳山市,22.615295,120.353516
高雄縣,林園鄉,22.510681,120.393677
基隆市,安樂區,25.151489,121.700806
基隆市,中山區,25.147278,121.735474
基隆市,中正區,25.143677,121.774597
基隆市,七堵區,25.115295,121.677795
基隆市,信義區,25.127502,121.776001
基隆市,仁愛區,25.120117,121.741516
基隆市,暖暖區,25.080078,121.744995
雲林縣,麥寮鄉,23.7771,120.253113
雲林縣,二崙鄉,23.785522,120.399414
雲林縣,崙背鄉,23.783875,120.342712
雲林縣,西螺鎮,23.777893,120.465393
雲林縣,莿桐鄉,23.773682,120.549316
雲林縣,林內鄉,23.760315,120.613831
雲林縣,台西鄉,23.708923,120.207703
雲林縣,斗六市,23.720703,120.572327
雲林縣,土庫鎮,23.697693,120.370117
雲林縣,虎尾鎮,23.712097,120.438477
雲林縣,褒忠鄉,23.715088,120.312317
雲林縣,東勢鄉,23.69812,120.263611
雲林縣,斗南鎮,23.666077,120.477295
雲林縣,四湖鄉,23.622681,120.211914
雲林縣,古坑鄉,23.637512,120.622681
雲林縣,元長鄉,23.649902,120.332214
雲林縣,大埤鄉,23.648315,120.422729
雲林縣,口湖鄉,23.569092,120.174377
雲林縣,水林鄉,23.555908,120.228821
雲林縣,北港鎮,23.593079,120.298828
新北市,石門鄉,25.255676,121.564087
新北市,三芝鄉,25.234314,121.507629
新北市,金山鄉,25.218689,121.60553
新北市,淡水鎮,25.182495,121.464478
新北市,萬里鄉,25.18512,121.648621
新北市,八里鄉,25.147888,121.413818
新北市,汐止鎮,25.061096,121.661926
新北市,瑞芳鎮,25.101929,121.837219
新北市,林口鄉,25.070923,121.34967
新北市,五股鄉,25.097473,121.436584
新北市,貢寮鄉,25.007874,121.931824
新北市,蘆洲鄉,25.086731,121.471985
新北市,雙溪鄉,24.975525,121.828979
新北市,三重市,25.066284,121.487488
新北市,平溪鄉,25.018921,121.757813
新北市,泰山鄉,25.057312,121.413513
新北市,新莊市,25.02948,121.430908
新北市,石碇鄉,24.942322,121.64679
新北市,板橋市,25.014099,121.457703
新北市,深坑鄉,24.9953,121.619873
新北市,樹林鎮,24.972717,121.401489
新北市,永和市,25.008484,121.516113
新北市,中和市,24.989502,121.497498
新北市,土城鄉,24.966125,121.444702
新北市,新店市,24.941284,121.53418
新北市,坪林鄉,24.909912,121.719971
新北市,鶯歌鎮,24.958313,121.349426
新北市,三峽鎮,24.89209,121.410095
新北市,烏來鄉,24.794678,121.567383
新竹市,新竹市,24.79071,120.957825
新竹縣,新豐鄉,24.904724,120.999817
